time_s,fps,process_ms,nodes,objects,orphans,missions,trade_missions,ships,workers
235.2,60.0,18.61,1931,6071,2,0,0,3,15
236.2,60.0,18.62,1931,6086,2,0,0,3,15
237.2,60.0,19.64,52,1989,2,0,0,3,15
238.2,58.0,36.72,50,1992,2,0,0,3,15
239.2,60.0,18.64,50,1977,2,0,0,3,15
240.2,60.0,18.19,50,1977,2,0,0,3,15
241.2,60.0,18.60,50,1977,2,0,0,3,15
242.2,60.0,18.34,50,1977,2,0,0,3,15
243.2,60.0,18.21,50,1977,2,0,0,3,15
244.2,60.0,18.11,50,1977,2,0,0,3,15
245.2,60.0,18.58,50,1977,2,0,0,3,15
246.2,60.0,18.27,50,1977,2,0,0,3,15
247.2,60.0,18.19,50,1977,2,0,0,3,15
248.2,60.0,18.38,50,1977,2,0,0,3,15
249.2,60.0,23.31,50,1977,2,0,0,3,15
250.2,60.0,20.30,50,1977,2,0,0,3,15
251.2,59.0,33.15,50,1977,2,0,0,3,15
252.2,60.0,19.69,50,1977,2,0,0,3,15
253.2,60.0,19.87,50,1977,2,0,0,3,15
254.2,60.0,17.78,50,1977,2,0,0,3,15
255.2,60.0,20.10,50,1977,2,0,0,3,15
256.2,60.0,18.44,50,1977,2,0,0,3,15
257.2,60.0,19.12,50,1977,2,0,0,3,15
258.2,60.0,20.33,50,1977,2,0,0,3,15
259.2,60.0,21.03,50,1977,2,0,0,3,15
260.2,60.0,20.38,50,1977,2,0,0,3,15
261.2,60.0,18.82,50,1977,2,0,0,3,15
262.2,60.0,21.14,50,1977,2,0,0,3,15
263.2,60.0,19.09,50,1977,2,0,0,3,15
264.2,60.0,19.38,50,1977,2,0,0,3,15
265.2,60.0,21.74,50,1977,2,0,0,3,15
266.2,60.0,22.13,50,1977,2,0,0,3,15
267.2,60.0,20.56,50,1977,2,0,0,3,15
268.2,60.0,20.44,50,1977,2,0,0,3,15
269.2,60.0,19.62,50,1977,2,0,0,3,15
270.2,60.0,20.29,50,1977,2,0,0,3,15
271.2,60.0,21.08,50,1977,2,0,0,3,15
272.2,60.0,19.80,50,1977,2,0,0,3,15
273.2,60.0,20.10,50,1977,2,0,0,3,15
274.2,60.0,18.45,50,1977,2,0,0,3,15
275.2,60.0,21.73,50,1977,2,0,0,3,15
276.2,60.0,20.03,50,1977,2,0,0,3,15
277.2,60.0,20.55,50,1977,2,0,0,3,15
278.2,60.0,21.07,50,1977,2,0,0,3,15
279.2,60.0,20.86,50,1977,2,0,0,3,15
280.2,60.0,19.13,50,1977,2,0,0,3,15
281.2,60.0,21.78,50,1977,2,0,0,3,15
282.2,60.0,19.14,50,1977,2,0,0,3,15
283.2,60.0,18.26,50,1977,2,0,0,3,15
284.2,60.0,20.25,50,1977,2,0,0,3,15
285.2,60.0,17.94,50,1977,2,0,0,3,15
286.2,60.0,18.38,50,1977,2,0,0,3,15
287.2,60.0,18.76,50,1977,2,0,0,3,15
288.2,60.0,18.29,50,1977,2,0,0,3,15
289.2,60.0,18.87,50,1977,2,0,0,3,15
290.2,60.0,20.37,50,1977,2,0,0,3,15
291.2,60.0,18.62,50,1977,2,0,0,3,15
292.2,60.0,19.20,50,1977,2,0,0,3,15
293.2,60.0,18.38,50,1977,2,0,0,3,15
294.2,60.0,18.95,50,1977,2,0,0,3,15
295.2,60.0,22.22,50,1977,2,0,0,3,15
296.2,60.0,18.64,50,1977,2,0,0,3,15
297.2,60.0,18.30,50,1977,2,0,0,3,15
298.2,60.0,18.60,50,1977,2,0,0,3,15
299.3,60.0,18.17,50,1977,2,0,0,3,15
300.3,59.0,33.57,50,1977,2,0,0,3,15
301.3,60.0,19.25,50,1977,2,0,0,3,15
302.3,59.0,32.58,50,1977,2,0,0,3,15
303.3,60.0,18.75,50,1977,2,0,0,3,15
304.3,60.0,18.70,50,1977,2,0,0,3,15
305.3,60.0,18.71,50,1977,2,0,0,3,15
306.3,60.0,20.43,50,1977,2,0,0,3,15
307.3,59.0,33.02,50,1977,2,0,0,3,15
308.3,60.0,19.14,50,1977,2,0,0,3,15
309.3,60.0,18.43,50,1977,2,0,0,3,15
310.3,60.0,21.96,50,1977,2,0,0,3,15
311.3,59.0,31.84,50,1977,2,0,0,3,15
312.3,60.0,18.74,50,1977,2,0,0,3,15
313.3,60.0,20.88,50,1977,2,0,0,3,15
314.3,60.0,20.13,50,1977,2,0,0,3,15
315.3,60.0,18.42,50,1977,2,0,0,3,15
316.3,60.0,18.29,50,1977,2,0,0,3,15
317.3,60.0,18.87,50,1977,2,0,0,3,15
318.3,60.0,18.40,50,1977,2,0,0,3,15
319.3,60.0,18.96,50,1977,2,0,0,3,15
320.3,60.0,18.55,50,1977,2,0,0,3,15
321.3,60.0,21.07,50,1977,2,0,0,3,15
322.3,59.0,33.25,50,1977,2,0,0,3,15
323.3,60.0,19.35,50,1977,2,0,0,3,15
324.3,60.0,20.62,50,1977,2,0,0,3,15
325.3,59.0,33.10,50,1977,2,0,0,3,15
326.3,60.0,18.15,50,1977,2,0,0,3,15
327.4,60.0,18.56,50,1977,2,0,0,3,15
328.4,59.0,33.84,50,1977,2,0,0,3,15
329.4,60.0,17.99,50,1977,2,0,0,3,15
330.4,60.0,18.34,50,1977,2,0,0,3,15
331.4,60.0,18.49,50,1977,2,0,0,3,15
